ClassId,SignName
0,SpeedLimit20
1,SpeedLimit30
2,SpeedLimit50
3,SpeedLimit60
4,SpeedLimit70
5,SpeedLimit80
6,EndOSpeedLimit80
7,SpeedLimit100
8,SpeedLimit110
9,NoOvertaking
10,HeavyVehiclesNoPassing
11,IntersectionWithMinorRoad
12,MainRoad
13,Yield
14,Stop
15,NoEntryForVehicles
16,NoLorries
17,NoEntry
18,Danger
19,RoadLeft
20,RoadRight
21,SharpTurn
22,UnevenRoad
23,SlipperyRoad
24,RoadNarrows
25,RoadWorks
26,TrafficLights
27,Pedestrians
28,School
29,Cyclist
30,FreezingRoad
31,WildAnimals
32,Nowhere
33,RightOnly
34,LeftOnly
35,ArrowUp
36,StraightOrRightOnly
37,StraightOrLeftOnly
38,ArrowBottomRight
39,ArrowBottomLeft
40,RoundAbout
41,NoPassing
42,EndNoPassingHeavy
